state,yr,qtr,index_nsa,index_sa
CA,1995,3,86.39,85.55
CA,1995,4,85.25,85.04
CA,1996,1,85.06,85
CA,1996,2,85.07,84.44
CA,1996,3,85.45,84.62
CA,1996,4,85.27,85.14
CA,1997,1,84.86,84.77
CA,1997,2,86.96,86.26
CA,1997,3,88.19,87.36
CA,1997,4,88.98,88.89
CA,1998,1,91.13,91.02
CA,1998,2,94.47,93.64
CA,1998,3,96.57,95.71
CA,1998,4,98.08,98
CA,1999,1,100.59,100.47
CA,1999,2,103.8,102.83
CA,1999,3,106.12,105.2
CA,1999,4,108.28,108.17
CA,2000,1,111.66,111.56
CA,2000,2,116.02,114.94
CA,2000,3,119.72,118.66
CA,2000,4,123.65,123.49
CA,2001,1,127.85,127.8
CA,2001,2,132.39,131.22
CA,2001,3,135.27,133.97
CA,2001,4,137.84,137.62
CA,2002,1,142.11,142.16
CA,2002,2,149.63,148.37
CA,2002,3,156.82,155.13
CA,2002,4,161.48,161.22
CA,2003,1,167.08,167.3
CA,2003,2,174.68,173.23
CA,2003,3,182.45,180.29
CA,2003,4,191.14,190.89
CA,2004,1,200.48,200.89
CA,2004,2,215.26,213.42
CA,2004,3,230.42,227.55
CA,2004,4,239.68,239.42
CA,2005,1,251.2,251.86
CA,2005,2,267,264.66
CA,2005,3,280.31,276.69
CA,2005,4,283.9,283.59
CA,2006,1,285.7,286.64
CA,2006,2,287.12,284.56
CA,2006,3,282.37,278.65
CA,2006,4,273.79,273.36
CA,2007,1,271.39,272.51
CA,2007,2,268.48,266.07
CA,2007,3,255.08,251.69
CA,2007,4,234.11,233.56
CA,2008,1,212.52,213.61
CA,2008,2,195.46,193.72
CA,2008,3,183.08,180.61
CA,2008,4,170.97,170.42
CA,2009,1,163.04,164.03
CA,2009,2,163.3,161.85
CA,2009,3,166.78,164.51
CA,2009,4,167.71,167.09
CA,2010,1,165.47,166.61
CA,2010,2,167.48,165.94
CA,2010,3,164.88,162.6
CA,2010,4,159.9,159.35
CA,2011,1,154.36,155.46
CA,2011,2,153.76,152.21
CA,2011,3,153.76,151.67
CA,2011,4,152.31,151.93
CA,2012,1,152.71,153.72
CA,2012,2,159.88,158.12
CA,2012,3,163.99,161.84
CA,2012,4,169.48,169.25
CA,2013,1,176.95,177.93
CA,2013,2,189.93,187.71
CA,2013,3,198.2,195.76
CA,2013,4,200.06,199.99
CA,2014,1,203.42,204.29
CA,2014,2,210.24,207.72
CA,2014,3,213.66,211.18
CA,2014,4,214.84,214.93
CA,2015,1,218.43,219.05
CA,2015,2,224.83,222.14
CA,2015,3,228.32,225.86
CA,2015,4,230.3,230.47
CA,2016,1,233.83,234.21
CA,2016,2,241,238.18
CA,2016,3,244.28,241.81
CA,2016,4,246.2,246.41
CA,2017,1,250.97,251.12
CA,2017,2,259.23,256.25
CA,2017,3,263.95,261.48
CA,2017,4,265.97,266.16
CA,2018,1,271.59,271.63
CA,2018,2,276.95,273.67
CA,2018,3,279.7,277.25
CA,2018,4,278.9,279.25
CA,2019,1,280.77,280.68
CA,2019,2,288.22,284.47
CA,2019,3,290.46,288.19
CA,2019,4,291.27,291.85
CA,2020,1,297.68,297.6
CA,2020,2,302.55,298
CA,2020,3,312.26,310.12
CA,2020,4,325.15,326.22
CA,2021,1,340.05,339.95
CA,2021,2,363.43,357.2
CA,2021,3,377.45,375.18
CA,2021,4,388.51,390.19
CA,2022,1,407.33,407.37
CA,2022,2,420.1,412.11
CA,2022,3,405.07,402.77
CA,2022,4,396.81,399.05
CA,2023,1,396.97,396.99
CA,2023,2,412.58,404.22
CA,2023,3,414.91,412.64
CO,1991,1,100,100
CO,1991,2,101.12,100.33
CO,1991,3,102.4,101.39
CO,1991,4,103.19,103.03
CO,1992,1,105.48,105.5
CO,1992,2,108.79,107.93
CO,1992,3,111.05,109.94
CO,1992,4,113.55,113.37
CO,1993,1,115.7,115.76
CO,1993,2,120.28,119.3
CO,1993,3,124.77,123.54
CO,1993,4,128.02,127.79
CO,1994,1,131.63,131.72
CO,1994,2,136.59,135.45
CO,1994,3,139.48,138.13
CO,1994,4,140.28,140.01
CO,1995,1,141.54,141.66
CO,1995,2,144.54,143.29
CO,1995,3,147.19,145.82
CO,1995,4,147.83,147.53
CO,1996,1,149.42,149.53
CO,1996,2,152.66,151.33
CO,1996,3,154.34,152.93
CO,1996,4,155.4,155.13
CO,1997,1,156.55,156.59
CO,1997,2,159.59,158.18
CO,1997,3,161.49,160.05
CO,1997,4,162.47,162.27
CO,1998,1,164.86,164.81
CO,1998,2,169.09,167.57
CO,1998,3,172.01,170.49
CO,1998,4,174.76,174.67
CO,1999,1,178.78,178.63
CO,1999,2,185.27,183.58
CO,1999,3,191.15,189.46
CO,1999,4,193.62,193.62
CO,2000,1,199.29,199.06
CO,2000,2,206.04,204.14
CO,2000,3,212.01,210.09
CO,2000,4,215.64,215.71
CO,2001,1,222.28,222.06
CO,2001,2,227.72,225.57
CO,2001,3,229.26,227.15
CO,2001,4,228.7,228.78
CO,2002,1,232.56,232.45
CO,2002,2,235.64,233.34
CO,2002,3,238.04,235.81
CO,2002,4,238,238
CO,2003,1,238.6,238.73
CO,2003,2,241.71,239.24
CO,2003,3,243,240.71
CO,2003,4,242.71,242.53
CO,2004,1,244.29,244.77
CO,2004,2,251.35,248.6
CO,2004,3,254.03,251.59
CO,2004,4,252.94,252.62
CO,2005,1,256.33,257.3
CO,2005,2,262.83,259.66
CO,2005,3,265.69,263.03
CO,2005,4,267.91,267.59
CO,2006,1,268.05,269.48
CO,2006,2,273.7,270.06
CO,2006,3,273.61,270.71
CO,2006,4,273.93,273.76
CO,2007,1,271.37,273.14
CO,2007,2,277.32,273.28
CO,2007,3,274.98,271.98
CO,2007,4,267.82,267.77
CO,2008,1,261.97,263.93
CO,2008,2,267.07,263.01
CO,2008,3,262.9,259.78
CO,2008,4,254.04,254.14
CO,2009,1,257.75,260.01
CO,2009,2,263.97,259.73
CO,2009,3,263.64,260.26
CO,2009,4,259.57,259.83
CO,2010,1,257.68,260.26
CO,2010,2,261.02,256.62
CO,2010,3,255.17,251.62
CO,2010,4,253.22,253.73
CO,2011,1,246.15,248.85
CO,2011,2,249.72,245.18
CO,2011,3,251.5,247.97
CO,2011,4,247.2,247.95
CO,2012,1,246.79,249.5
CO,2012,2,263.46,258.45
CO,2012,3,267.96,264.12
CO,2012,4,268.04,269.35
CO,2013,1,270.83,273.53
CO,2013,2,287.76,281.97
CO,2013,3,291.34,287.33
CO,2013,4,289.7,291.72
CO,2014,1,294.71,297
CO,2014,2,308.35,301.94
CO,2014,3,311.44,307.49
CO,2014,4,315.36,318.26
CO,2015,1,327.73,329.24
CO,2015,2,343.29,336.07
CO,2015,3,349.59,345.8
CO,2015,4,347.95,351.52
CO,2016,1,360.38,360.98
CO,2016,2,377.36,369.57
CO,2016,3,383.29,379.71
CO,2016,4,384.85,389.02
CO,2017,1,396.84,396.52
CO,2017,2,414.88,406.58
CO,2017,3,416.61,413.3
CO,2017,4,420.06,424.44
CO,2018,1,437.96,437.17
CO,2018,2,451.31,442.28
CO,2018,3,451.71,448.6
CO,2018,4,448.36,453.02
CO,2019,1,458.29,457.12
CO,2019,2,475.25,465.56
CO,2019,3,475.62,472.81
CO,2019,4,476.54,481.45
CO,2020,1,490.59,489.41
CO,2020,2,499.85,489.17
CO,2020,3,512.92,510.07
CO,2020,4,528.52,534.44
CO,2021,1,555.14,553.72
CO,2021,2,598.8,585.47
CO,2021,3,618.64,615.22
CO,2021,4,625.29,632.74
CO,2022,1,673.67,672.32
CO,2022,2,703.09,686.62
CO,2022,3,675.93,672.02
CO,2022,4,660.92,669.6
CO,2023,1,665.55,664.24
CO,2023,2,686.3,669.66
CO,2023,3,689,684.92
CT,1991,1,100,100
CT,1991,2,97.79,97.99
CT,1991,3,96.99,96.16
CT,1991,4,96.51,95.82
CT,1992,1,97.34,97.43
CT,1992,2,95.22,95.39
CT,1992,3,95.18,94.28
CT,1992,4,96.03,95.36
CT,1993,1,92.37,92.61
CT,1993,2,91.54,91.61
CT,1993,3,92.35,91.36
CT,1993,4,91.76,91.21
CT,1994,1,91.01,91.41
CT,1994,2,91.76,91.65
CT,1994,3,92.6,91.52
CT,1994,4,91.71,91.31
CT,1995,1,90.08,90.61
CT,1995,2,90.68,90.34
CT,1995,3,91.74,90.63
CT,1995,4,90.92,90.69
CT,1996,1,90.55,91.16
CT,1996,2,91.83,91.25
CT,1996,3,91.69,90.62
CT,1996,4,90.6,90.47
CT,1997,1,90.46,91.1
CT,1997,2,92.59,91.86
CT,1997,3,93.41,92.35
CT,1997,4,93.31,93.25
CT,1998,1,93.28,93.95
CT,1998,2,96.26,95.43
